sep=;
time;model_id;model_name;port_name;data
0;1;(1,3);;<0,0>
0;2;(0,3);;<0,0>
0;3;(3,1);;<1,0>
0;4;(3,3);;<1,0>
0;5;(0,2);;<0,0>
0;6;(0,0);;<0,0>
0;7;(1,0);;<0,0>
0;8;(2,2);;<0,0>
0;9;(2,0);;<0,0>
0;10;(3,0);;<0,0>
0;11;(1,1);;<0,0>
0;12;(2,1);;<0,0>
0;13;(0,1);;<0,0>
0;14;(2,3);;<0,0>
0;15;(1,2);;<0,0>
0;16;(3,2);;<0,0>
0;1;(1,3);outputNeighborhood;<0,0>
0;1;(1,3);;<0,3>
0;2;(0,3);outputNeighborhood;<0,0>
0;2;(0,3);;<0,2>
0;3;(3,1);outputNeighborhood;<1,0>
0;3;(3,1);;<1,0>
0;4;(3,3);outputNeighborhood;<1,0>
0;4;(3,3);;<1,0>
0;5;(0,2);outputNeighborhood;<0,0>
0;5;(0,2);;<0,3>
0;6;(0,0);outputNeighborhood;<0,0>
0;6;(0,0);;<0,2>
0;7;(1,0);outputNeighborhood;<0,0>
0;7;(1,0);;<0,3>
0;8;(2,2);outputNeighborhood;<0,0>
0;8;(2,2);;<0,4>
0;9;(2,0);outputNeighborhood;<0,0>
0;9;(2,0);;<0,3>
0;10;(3,0);outputNeighborhood;<0,0>
0;10;(3,0);;<0,6>
0;11;(1,1);outputNeighborhood;<0,0>
0;11;(1,1);;<0,4>
0;12;(2,1);outputNeighborhood;<0,0>
0;12;(2,1);;<0,8>
0;13;(0,1);outputNeighborhood;<0,0>
0;13;(0,1);;<0,3>
0;14;(2,3);outputNeighborhood;<0,0>
0;14;(2,3);;<0,7>
0;15;(1,2);outputNeighborhood;<0,0>
0;15;(1,2);;<0,4>
0;16;(3,2);outputNeighborhood;<0,0>
0;16;(3,2);;<0,11>
1;1;(1,3);outputNeighborhood;<0,3>
1;1;(1,3);;<0,6>
1;2;(0,3);outputNeighborhood;<0,2>
1;2;(0,3);;<0,4>
1;3;(3,1);;<1,0>
1;4;(3,3);;<1,0>
1;5;(0,2);outputNeighborhood;<0,3>
1;5;(0,2);;<0,6>
1;6;(0,0);outputNeighborhood;<0,2>
1;6;(0,0);;<0,4>
1;7;(1,0);outputNeighborhood;<0,3>
1;7;(1,0);;<0,6>
1;8;(2,2);outputNeighborhood;<0,4>
1;8;(2,2);;<0,8>
1;9;(2,0);outputNeighborhood;<0,3>
1;9;(2,0);;<0,6>
1;10;(3,0);outputNeighborhood;<0,6>
1;10;(3,0);;<0,12>
1;11;(1,1);outputNeighborhood;<0,4>
1;11;(1,1);;<0,8>
1;12;(2,1);outputNeighborhood;<0,8>
1;12;(2,1);;<0,16>
1;13;(0,1);outputNeighborhood;<0,3>
1;13;(0,1);;<0,6>
1;14;(2,3);outputNeighborhood;<0,7>
1;14;(2,3);;<0,14>
1;15;(1,2);outputNeighborhood;<0,4>
1;15;(1,2);;<0,8>
1;16;(3,2);outputNeighborhood;<0,11>
1;16;(3,2);;<0,22>
2;1;(1,3);outputNeighborhood;<0,6>
2;1;(1,3);;<0,9>
2;2;(0,3);outputNeighborhood;<0,4>
2;2;(0,3);;<0,6>
2;3;(3,1);;<1,0>
2;4;(3,3);;<1,0>
2;5;(0,2);outputNeighborhood;<0,6>
2;5;(0,2);;<0,9>
2;6;(0,0);outputNeighborhood;<0,4>
2;6;(0,0);;<0,6>
2;7;(1,0);outputNeighborhood;<0,6>
2;7;(1,0);;<0,9>
2;8;(2,2);outputNeighborhood;<0,8>
2;8;(2,2);;<0,12>
2;9;(2,0);outputNeighborhood;<0,6>
2;9;(2,0);;<0,9>
2;10;(3,0);outputNeighborhood;<0,12>
2;10;(3,0);;<0,18>
2;11;(1,1);outputNeighborhood;<0,8>
2;11;(1,1);;<0,12>
2;12;(2,1);outputNeighborhood;<0,16>
2;12;(2,1);;<0,24>
2;13;(0,1);outputNeighborhood;<0,6>
2;13;(0,1);;<0,9>
2;14;(2,3);outputNeighborhood;<0,14>
2;14;(2,3);;<0,21>
2;15;(1,2);outputNeighborhood;<0,8>
2;15;(1,2);;<0,12>
2;16;(3,2);outputNeighborhood;<0,22>
2;16;(3,2);;<0,33>
3;1;(1,3);outputNeighborhood;<0,9>
3;1;(1,3);;<0,12>
3;2;(0,3);outputNeighborhood;<0,6>
3;2;(0,3);;<0,8>
3;3;(3,1);;<1,0>
3;4;(3,3);;<1,0>
3;5;(0,2);outputNeighborhood;<0,9>
3;5;(0,2);;<0,12>
3;6;(0,0);outputNeighborhood;<0,6>
3;6;(0,0);;<0,8>
3;7;(1,0);outputNeighborhood;<0,9>
3;7;(1,0);;<0,12>
3;8;(2,2);outputNeighborhood;<0,12>
3;8;(2,2);;<0,16>
3;9;(2,0);outputNeighborhood;<0,9>
3;9;(2,0);;<0,12>
3;10;(3,0);outputNeighborhood;<0,18>
3;10;(3,0);;<0,24>
3;11;(1,1);outputNeighborhood;<0,12>
3;11;(1,1);;<0,16>
3;12;(2,1);outputNeighborhood;<0,24>
3;12;(2,1);;<0,32>
3;13;(0,1);outputNeighborhood;<0,9>
3;13;(0,1);;<0,12>
3;14;(2,3);outputNeighborhood;<0,21>
3;14;(2,3);;<0,28>
3;15;(1,2);outputNeighborhood;<0,12>
3;15;(1,2);;<0,16>
3;16;(3,2);outputNeighborhood;<0,33>
3;16;(3,2);;<0,44>
4;1;(1,3);outputNeighborhood;<0,12>
4;1;(1,3);;<0,15>
4;2;(0,3);outputNeighborhood;<0,8>
4;2;(0,3);;<0,10>
